Gene	sgRNA	OMM25|beta	OMM25|z	OMM25|p-value	OMM25|fdr	OMM25|wald-p-value	OMM25|wald-fdr
A1BG	5	-0.019501	-0.1876	0.98834	0.99843	0.85119	0.94575
A1CF	5	-0.15879	-1.1412	0.44191	0.8207	0.2538	0.63181
A2M	5	0.14561	1.2337	0.21099	0.63778	0.21732	0.60792
A2ML1	5	0.18864	1.1831	0.10113	0.45927	0.23676	0.62271
A3GALT2	5	0.0097056	0.090352	0.85833	0.97036	0.92801	0.97512
A4GALT	5	-0.014008	-0.16011	0.98628	0.99843	0.87279	0.95323
A4GNT	5	0.14512	1.3315	0.21226	0.63967	0.18302	0.58976
AAAS	4	0.1053	0.7037	0.42602	0.81218	0.48162	0.77119
AACS	5	-0.092042	-0.58583	0.66544	0.91785	0.55799	0.81203
AADAC	5	0.25771	1.4642	0.022548	0.20351	0.14313	0.56321
AADACL2	5	-0.15195	-1.0362	0.46096	0.83076	0.30013	0.66219
AADACL3	5	0.031911	0.21181	0.7377	0.94259	0.83226	0.93813
AADACL4	5	0.1685	1.2075	0.1439	0.53498	0.22723	0.6153
AADAT	5	-0.022441	-0.16591	0.97323	0.99568	0.86823	0.95116
AAED1	5	0.12677	0.97147	0.27735	0.70537	0.33131	0.68314
AAGAB	5	-0.024532	-0.22624	0.96229	0.99221	0.82101	0.93417
AAK1	5	0.073616	0.65158	0.51722	0.85654	0.51467	0.78991
AAMDC	5	-0.034596	-0.31278	0.91181	0.98223	0.75445	0.90654
AAMP	5	-1.1753	-3.5118	0	0	0.0004451	0.01389
AANAT	5	0.012224	0.091688	0.84594	0.97009	0.92695	0.97464
AAR2	5	0.10423	0.673	0.37249	0.77982	0.50094	0.78146
AARD	5	-0.079798	-0.55052	0.71621	0.93482	0.58196	0.82452
AARS	5	-2.024	-4.8542	0	0	1.2088e-06	0.0001554
AARS2	5	-0.21825	-1.5662	0.29929	0.72248	0.11731	0.53788
AARSD1	5	0.072701	0.54624	0.52205	0.859	0.5849	0.82608
AASDH	5	-0.085111	-0.59451	0.6931	0.92855	0.55217	0.8101
AASDHPPT	5	0.030441	0.15384	0.74525	0.94453	0.87773	0.95466
AASS	5	-0.042037	-0.24691	0.87687	0.97397	0.80498	0.92704
AATF	5	-0.65364	-2.8143	0.010996	0.13121	0.0048879	0.084302
AATK	5	-0.27036	-1.7867	0.21032	0.63765	0.073984	0.48849
ABAT	5	-0.07088	-0.54753	0.75214	0.94607	0.58402	0.82568
ABCA1	5	0.011807	0.086703	0.84788	0.97009	0.93091	0.97598
ABCA10	5	-0.091983	-0.69902	0.66561	0.91785	0.48454	0.77307
ABCA12	5	0.11094	0.61528	0.34277	0.76038	0.53837	0.80427
ABCA13	5	0.057931	0.38397	0.59591	0.88936	0.701	0.88144
ABCA2	5	-0.016401	-0.11069	0.99872	0.99989	0.91186	0.96742
ABCA3	5	0.22839	1.17	0.044207	0.30015	0.242	0.62481
ABCA4	5	-0.099029	-0.80405	0.63868	0.90823	0.42137	0.73821
ABCA5	5	0.023842	0.1847	0.78246	0.95415	0.85346	0.94662
ABCA6	5	-0.042695	-0.28575	0.87438	0.97379	0.77507	0.91457
ABCA7	5	0.013408	0.1624	0.83933	0.96915	0.87099	0.95222
ABCA8	5	0.024479	0.23599	0.77902	0.95286	0.81344	0.9309
ABCA9	4	0.088731	0.44566	0.50183	0.85053	0.65584	0.85984
ABCB1	5	-0.24467	-1.9876	0.25114	0.67908	0.046851	0.41815
ABCB10	3	0.1721	1.425	0.26297	0.69164	0.15415	0.56853
ABCB11	5	-0.08773	-0.52565	0.68288	0.92431	0.59913	0.83225
ABCB4	5	-0.036523	-0.29118	0.90348	0.98024	0.77091	0.91305
ABCB5	5	-0.086572	-0.43274	0.68727	0.926	0.6652	0.86454
ABCB6	5	0.071991	0.69204	0.52582	0.86154	0.48891	0.7759
ABCB7	5	-0.67515	-2.9943	0.0091636	0.11538	0.0027509	0.055346
ABCB8	5	0.018377	0.25289	0.81134	0.96011	0.80035	0.92536
ABCB9	5	0.2209	1.5633	0.051538	0.32561	0.11797	0.53831
ABCC1	5	-0.20477	-1.5103	0.32778	0.74561	0.13097	0.55144
ABCC10	5	-0.013328	-0.096814	0.98267	0.99808	0.92287	0.97305
ABCC11	5	0.078692	0.60249	0.4925	0.84429	0.54685	0.80768
ABCC12	5	0.082746	0.80084	0.47334	0.83578	0.42322	0.73902
ABCC2	5	0.14432	0.70743	0.21487	0.64194	0.4793	0.77016
ABCC3	5	0.10401	0.91117	0.3736	0.78112	0.3622	0.70068
ABCC4	5	0.29755	1.2965	0.0071643	0.098039	0.19482	0.59617
ABCC5	5	0.046225	0.42057	0.66161	0.91709	0.67407	0.8686
ABCC6	10	-0.32822	-2.3269	0.043652	0.29807	0.019973	0.24215
ABCC8	5	0.17912	1.6869	0.12163	0.50091	0.091626	0.51285
ABCC9	5	0.17096	1.303	0.13884	0.52899	0.19258	0.59385
ABCD1	5	0.022014	0.23394	0.79268	0.95632	0.81503	0.93127
ABCD2	5	-0.017994	-0.14777	0.99428	0.999	0.88252	0.957
ABCD3	5	0.00090161	0.004321	0.90609	0.98135	0.99655	0.99844
ABCD4	5	0.073598	0.52398	0.51744	0.85654	0.60029	0.83249
ABCE1	5	-2.7148	-4.5377	0	0	5.6866e-06	0.00049947
ABCF1	5	-0.79153	-2.7285	0.0029435	0.050815	0.0063626	0.10396
ABCF2	5	-0.041233	-0.32056	0.88054	0.97479	0.74854	0.90324
ABCF3	5	0.1187	1.0537	0.30834	0.72945	0.292	0.65753
ABCG1	5	0.35826	2.011	0.0012218	0.025522	0.044323	0.40573
ABCG2	5	0.17653	1.1283	0.12635	0.50679	0.25921	0.63671
ABCG4	5	0.38494	1.9444	0.00049983	0.011984	0.051848	0.43742
ABCG5	5	0.14393	1.426	0.21648	0.64355	0.15386	0.56806
ABCG8	5	0.10014	0.74186	0.39198	0.79218	0.45817	0.75806
ABHD1	5	-0.068053	-0.71479	0.76425	0.9493	0.47474	0.76837
ABHD10	5	0.052993	0.32453	0.6244	0.9032	0.74554	0.90221
ABHD11	5	-0.033364	-0.2985	0.91803	0.98401	0.76532	0.91089
ABHD12	5	0.051257	0.40399	0.63407	0.90697	0.68622	0.87412
ABHD12B	5	0.27236	1.723	0.015439	0.16182	0.084894	0.50483
ABHD13	5	0.12542	0.65453	0.28218	0.70944	0.51277	0.78836
ABHD14A	5	0.095724	0.72183	0.4137	0.80678	0.4704	0.76666
ABHD14B	5	0.11154	0.74817	0.33978	0.75674	0.45436	0.75614
ABHD15	5	-0.18849	-1.1793	0.36216	0.77447	0.23826	0.62271
ABHD16A	5	-0.054328	-0.48185	0.82384	0.96387	0.62991	0.8458
ABHD16B	5	0.23301	1.4149	0.040042	0.28386	0.15708	0.57167
ABHD17A	3	-0.21273	-1.1375	0.37732	0.78362	0.25532	0.63353
ABHD17B	5	0.012072	0.055256	0.84677	0.97009	0.95593	0.98339
ABHD17C	5	-0.031992	-0.29814	0.92403	0.98457	0.7656	0.91095
ABHD2	5	0.042626	0.37532	0.68094	0.92365	0.70742	0.8839
ABHD3	5	-0.081729	-0.61808	0.70726	0.93338	0.53653	0.80269
ABHD4	5	0.0087984	0.067473	0.8641	0.9721	0.94621	0.98091
ABHD5	4	0.20638	1.0392	0.10902	0.47669	0.2987	0.66078
ABHD6	5	0.14011	0.98388	0.23009	0.65772	0.32517	0.67912
ABHD8	5	-0.059334	-0.69403	0.80096	0.95821	0.48766	0.775
ABI1	5	0.11289	0.77643	0.33422	0.7515	0.43749	0.7475
ABI2	5	0.069257	0.61234	0.53882	0.8678	0.54031	0.8055
ABI3	5	-0.014618	-0.12345	0.98884	0.99843	0.90175	0.96377
ABI3BP	5	-0.016786	-0.15294	0.99933	0.99989	0.87845	0.95475
ABL1	5	0.10368	0.93433	0.37565	0.78267	0.35013	0.69397
ABL2	5	0.20337	1.2682	0.075697	0.39726	0.20472	0.60178
ABLIM1	5	0.1912	1.3458	0.09619	0.44778	0.17838	0.58607
ABLIM2	5	-0.054167	-0.34057	0.82456	0.9641	0.73343	0.89586
ABLIM3	5	-0.05035	-0.27843	0.84205	0.96962	0.78068	0.91711
ABR	11	0.06628	0.9116	0.334	0.75119	0.36198	0.70068
ABRA	5	0.086761	0.90587	0.4559	0.82873	0.36501	0.70301
ABRACL	4	0.16175	1.0478	0.21821	0.64569	0.29474	0.65856
ABT1	5	-1.2498	-4.1368	0	0	3.5224e-05	0.0020635
ABTB1	5	-0.029163	-0.19936	0.93802	0.98669	0.84198	0.94207
ABTB2	5	0.16037	1.0719	0.16628	0.57444	0.28378	0.65311
ACAA1	5	0.042903	0.28561	0.67927	0.92337	0.77518	0.91457
ACAA2	5	-0.0039313	-0.042429	0.93063	0.98519	0.96616	0.98727
ACACA	5	-0.047172	-0.26768	0.85527	0.97009	0.78895	0.92103
ACACB	5	0.1513	1.1759	0.19249	0.61298	0.23964	0.62318
ACAD10	5	-0.013057	-0.085424	0.98128	0.99774	0.93192	0.97628
ACAD11	5	0.16696	0.94429	0.14751	0.54083	0.34502	0.69166
ACAD8	5	-0.1635	-0.88464	0.4288	0.81316	0.37635	0.70983
ACAD9	5	-0.33544	-2.3753	0.13135	0.51626	0.017535	0.22095
ACADL	5	0.15279	1.0325	0.18816	0.60597	0.30183	0.66288
ACADM	5	0.14068	0.74206	0.22776	0.65501	0.45805	0.75806
ACADS	5	0.061025	0.62202	0.5807	0.88572	0.53393	0.80086
ACADSB	5	0.19562	0.99303	0.088526	0.42907	0.3207	0.67585
ACADVL	5	0.10352	1.0765	0.37643	0.78313	0.28169	0.65161
ACAN	5	0.028872	0.26865	0.75358	0.94644	0.7882	0.92058
ACAP1	5	0.37683	2.0446	0.00072198	0.016477	0.040892	0.38978
ACAP2	5	-0.13197	-1.0268	0.52127	0.85834	0.30453	0.66394
