Gene	sgRNA	MP38|beta	MP38|z	MP38|p-value	MP38|fdr	MP38|wald-p-value	MP38|wald-fdr
A1BG	5	0.050654	0.85051	0.55781	0.9026	0.39504	0.78075
A1CF	5	-0.10923	-0.90165	0.3942	0.83298	0.36724	0.77003
A2M	5	0.18285	1.2685	0.035599	0.33195	0.20463	0.68547
A2ML1	5	0.070096	0.77653	0.42786	0.8465	0.43744	0.80006
A3GALT2	5	-0.13965	-1.3982	0.28652	0.77381	0.16207	0.66302
A4GALT	5	0.0076877	0.09418	0.88881	0.98154	0.92497	0.97947
A4GNT	5	0.087926	0.79991	0.31806	0.79509	0.42376	0.79329
AAAS	4	0.027418	0.30449	0.77835	0.95516	0.76075	0.92352
AACS	5	0.040002	0.44489	0.63446	0.91807	0.6564	0.88644
AADAC	5	0.11053	0.75331	0.21221	0.70533	0.45127	0.80768
AADACL2	5	0.0024377	0.023668	0.92897	0.98918	0.98112	0.99577
AADACL3	5	-0.057406	-0.55701	0.65223	0.92256	0.57752	0.85685
AADACL4	5	0.1479	1.7146	0.089581	0.51748	0.08641	0.58829
AADAT	5	-0.15909	-0.95482	0.23387	0.72893	0.33967	0.75989
AAED1	5	0.14954	0.9463	0.086305	0.50934	0.34399	0.76215
AAGAB	5	0.028335	0.23755	0.72509	0.94201	0.81223	0.94305
AAK1	5	0.071575	0.88783	0.41892	0.84509	0.37463	0.77207
AAMDC	5	0.031145	0.42149	0.70249	0.93677	0.6734	0.89258
AAMP	5	-0.74021	-3.2959	0.00038876	0.017995	0.00098117	0.04762
AANAT	5	0.037125	0.50085	0.65578	0.92423	0.61648	0.87133
AAR2	5	0.123	1.1242	0.16289	0.64592	0.26092	0.71705
AARD	5	-0.18013	-1.4089	0.18805	0.67996	0.15886	0.66083
AARS	5	-1.3465	-4.7212	0	0	2.3447e-06	0.0014073
AARS2	5	-0.034196	-0.25626	0.80357	0.96293	0.79775	0.93771
AARSD1	5	-0.11541	-1.1559	0.36904	0.81998	0.24771	0.71022
AASDH	5	-0.10921	-0.87185	0.39426	0.83298	0.38329	0.77516
AASDHPPT	5	0.32311	1.7329	0.00072198	0.026104	0.083122	0.58784
AASS	5	-0.10454	-0.85724	0.41192	0.84135	0.39131	0.77969
AATF	5	-0.43334	-2.6896	0.0094968	0.15364	0.0071528	0.15688
AATK	5	-0.11524	-1.118	0.36977	0.82035	0.26356	0.71798
ABAT	5	-0.083765	-0.8419	0.50766	0.88119	0.39985	0.78345
ABCA1	5	0.08121	1.2911	0.3561	0.81178	0.19666	0.6825
ABCA10	5	0.12653	0.93102	0.15001	0.62683	0.35184	0.7656
ABCA12	5	0.18566	1.4311	0.032989	0.31867	0.15241	0.65592
ABCA13	5	0.023225	0.20134	0.76536	0.95107	0.84043	0.95198
ABCA2	5	0.056309	0.76991	0.51705	0.88627	0.44135	0.80304
ABCA3	5	0.27377	1.5727	0.002277	0.057183	0.1158	0.61865
ABCA4	5	-0.16147	-1.5696	0.2282	0.72385	0.1165	0.61888
ABCA5	5	-0.023917	-0.41484	0.87599	0.97918	0.67826	0.89422
